lon,lat,hurt,color,road,scale,level1,level2
121.549637,25.051919,2,受傷事故,南京東西路,3,惡化,中度惡化
121.533131,25.045912,1,受傷事故,松江路,2,惡化,重度惡化
121.570859,25.046263,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.558283,25.018262,2,受傷事故,和平東路1、2、3段,3,惡化,重度惡化
121.557733,25.085694,2,受傷事故,內湖路1段,3,惡化,中度惡化
121.564279,25.063275,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.525135,25.102125,1,受傷事故,福國路,2,惡化,重度惡化
121.509197,25.047844,1,受傷事故,中華路1段,2,惡化,重度惡化
121.522831,25.052609,1,受傷事故,南京東西路,2,惡化,中度惡化
121.578356,25.078652,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.525135,25.102125,2,受傷事故,福國路,2,惡化,重度惡化
121.564279,25.063275,1,受傷事故,民族東路,2,惡化,重度惡化
121.577524,25.050227,1,受傷事故,八德路4段,2,惡化,輕微惡化
121.573967,25.080338,1,受傷事故,內湖路1段,3,惡化,中度惡化
121.523358,25.068299,1,受傷事故,民族東路,2,惡化,重度惡化
121.539773,25.097169,1,受傷事故,福林路,2,惡化,中度惡化
121.564753,25.049177,1,受傷事故,八德路4段,2,惡化,輕微惡化
121.510583,25.04736,1,受傷事故,中華路1段,2,惡化,重度惡化
121.577802,25.079761,1,受傷事故,內湖路1段,3,惡化,中度惡化
121.569428,25.048983,1,受傷事故,基隆路1段,3,惡化,輕微惡化
121.535319,25.025713,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.572306,25.050215,1,受傷事故,塔悠路,2,惡化,重度惡化
121.524122,25.048074,1,受傷事故,民族東路,2,惡化,重度惡化
121.543715,25.047768,2,受傷事故,復興北路,3,惡化,中度惡化
121.525538,25.086369,2,受傷事故,福國路,3,惡化,重度惡化
121.564862,25.014136,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.55067,25.047545,2,受傷事故,八德路3段,3,改善,有效改善
121.580915,25.05744,1,受傷事故,南京東西路,2,惡化,中度惡化
121.554748,25.055997,1,受傷事故,光復南北路,3,惡化,輕微惡化
121.543715,25.047768,1,受傷事故,民族東路,2,惡化,重度惡化
121.544479,25.065684,1,受傷事故,復興北路,2,惡化,中度惡化
121.549826,25.04804,1,受傷事故,八德路3段,3,改善,有效改善
121.522831,25.052609,1,受傷事故,民族東路,2,惡化,重度惡化
121.549637,25.051919,2,受傷事故,南京東西路,3,惡化,中度惡化
121.539153,25.052914,1,受傷事故,南京東西路,2,惡化,中度惡化
121.532714,25.046292,1,受傷事故,松江路,2,惡化,重度惡化
121.584412,25.049059,1,受傷事故,忠孝東路6段,2,改善,微幅改善
121.555272,25.051805,2,受傷事故,南京東西路,2,惡化,中度惡化
121.527936,25.058174,1,受傷事故,松江路,3,惡化,重度惡化
121.556658,25.051763,1,受傷事故,南京東西路,2,惡化,中度惡化
121.557982,25.047915,1,受傷事故,光復南北路,3,惡化,輕微惡化
121.553475,25.053663,1,受傷事故,南京東西路,2,惡化,中度惡化
121.529754,25.068593,2,受傷事故,民族東路,2,惡化,重度惡化
121.523596,25.102411,1,受傷事故,福國路,2,惡化,重度惡化
121.535515,25.042214,1,受傷事故,光復南北路,3,惡化,輕微惡化
121.549637,25.051919,1,受傷事故,南京東西路,3,惡化,中度惡化
121.569428,25.048983,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.521244,25.052326,1,受傷事故,南京東西路,2,惡化,中度惡化
121.523358,25.068299,1,受傷事故,民族東路,2,惡化,重度惡化
121.533131,25.045912,1,受傷事故,松江路,2,惡化,重度惡化
121.544696,25.097626,1,受傷事故,至善路2段,2,改善,有效改善
121.54222,25.067668,2,受傷事故,民族東路,2,惡化,重度惡化
121.520156,25.051812,1,受傷事故,南京東西路,2,惡化,中度惡化
121.55567,25.057411,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.557212,25.086797,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.520156,25.051812,1,受傷事故,南京東西路,2,惡化,中度惡化
121.532217,25.051096,1,受傷事故,松江路,2,惡化,重度惡化
121.584412,25.049059,2,受傷事故,忠孝東路6段,2,改善,微幅改善
121.557982,25.047915,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.567124,25.045186,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.577119,25.049852,1,受傷事故,八德路4段,2,惡化,輕微惡化
121.557993,25.048456,2,受傷事故,光復南北路,3,惡化,輕微惡化
121.55556,25.058427,1,受傷事故,復興北路,2,惡化,中度惡化
121.521814,25.052534,1,受傷事故,南京東西路,2,惡化,中度惡化
121.545489,25.063454,1,受傷事故,復興北路,1,惡化,中度惡化
121.580841,25.044274,1,受傷事故,中坡北路,2,改善,有效改善
121.5565,25.047304,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.557982,25.047915,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.543931,25.058785,1,受傷事故,復興北路,2,惡化,中度惡化
121.584412,25.049059,2,受傷事故,忠孝東路6段,3,改善,微幅改善
121.523208,25.10132,1,受傷事故,福國路,2,惡化,重度惡化
121.545119,25.062463,2,受傷事故,復興北路,4,惡化,中度惡化
121.569428,25.048983,2,受傷事故,基隆路1段,3,惡化,輕微惡化
121.558442,25.08507,2,受傷事故,內湖路1段,3,惡化,中度惡化
121.5567,25.048203,1,受傷事故,八德路3段,3,改善,有效改善
121.533131,25.045912,1,受傷事故,松江路,3,惡化,重度惡化
121.533131,25.045912,2,受傷事故,松江路,3,惡化,重度惡化
121.568485,25.049582,2,受傷事故,八德路4段,2,惡化,輕微惡化
121.544158,25.047968,3,受傷事故,民族東路,3,惡化,重度惡化
121.557982,25.047915,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.544864,25.045161,1,受傷事故,八德路4段,4,惡化,輕微惡化
121.557388,25.019383,2,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.533067,25.067634,1,受傷事故,松江路,2,惡化,重度惡化
121.549637,25.051919,1,受傷事故,南京東西路,2,惡化,中度惡化
121.573851,25.08038,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.573967,25.080338,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.519993,25.052578,1,受傷事故,南京東西路,1,惡化,中度惡化
121.57996,25.050304,2,受傷事故,八德路4段,2,惡化,輕微惡化
121.540192,25.051749,1,受傷事故,南京東西路,1,惡化,中度惡化
121.567367,25.050592,1,受傷事故,南京東西路,2,惡化,中度惡化
121.543949,25.05847,1,受傷事故,復興北路,2,惡化,中度惡化
121.544334,25.055686,2,受傷事故,復興北路,3,惡化,中度惡化
121.567764,25.051103,3,受傷事故,南京東西路,3,惡化,中度惡化
121.559023,25.051714,1,受傷事故,南京東西路,2,惡化,中度惡化
121.510583,25.04736,3,受傷事故,中華路1段,3,惡化,重度惡化
121.564426,25.083573,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.510583,25.04736,1,受傷事故,中華路1段,2,惡化,重度惡化
121.565242,25.041291,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.572306,25.050215,1,受傷事故,塔悠路,2,惡化,重度惡化
121.542485,25.059947,2,受傷事故,復興北路,2,惡化,中度惡化
121.53236,25.097259,3,受傷事故,福林路,3,惡化,中度惡化
121.558319,25.028575,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.550625,25.046075,2,受傷事故,八德路3段,2,改善,有效改善
121.566401,25.043552,1,受傷事故,中坡北路,2,改善,有效改善
121.517403,25.04549,1,受傷事故,公園路,1,惡化,中度惡化
121.555188,25.059474,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.558063,25.048338,1,受傷事故,八德路4段,2,惡化,輕微惡化
121.5582,25.018588,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.580794,25.04476,1,受傷事故,中坡北路,3,改善,有效改善
121.559045,25.017918,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.553398,25.10348,2,受傷事故,至善路2段,2,改善,有效改善
121.538684,25.052582,2,受傷事故,南京東西路,3,惡化,中度惡化
121.573479,25.08128,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.530421,25.05686,2,受傷事故,松江路,2,惡化,重度惡化
121.525538,25.086369,1,受傷事故,福國路,2,惡化,重度惡化
121.517403,25.04549,1,受傷事故,公園路,2,惡化,中度惡化
121.524897,25.026499,1,受傷事故,和平東路1、2、3段,3,惡化,重度惡化
121.534036,25.097467,2,受傷事故,福林路,2,惡化,中度惡化
121.564743,25.04202,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.528045,25.052292,1,受傷事故,南京東西路,2,惡化,中度惡化
121.584412,25.049059,1,受傷事故,忠孝東路6段,1,改善,微幅改善
121.55774,25.034485,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.543841,25.052938,1,受傷事故,復興北路,2,惡化,中度惡化
121.55937,25.037098,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.564743,25.04202,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.566229,25.050806,3,受傷事故,南京東西路,3,惡化,中度惡化
121.522755,25.064855,2,受傷事故,建國北路3段,2,改善,有效改善
121.565843,25.048527,1,受傷事故,南京東西路,2,惡化,中度惡化
121.510583,25.04736,2,受傷事故,中華路1段,2,惡化,重度惡化
121.567019,25.084454,1,受傷事故,內湖路1段,2,惡化,中度惡化
121.530248,25.094587,1,受傷事故,福林路,2,惡化,中度惡化
121.562929,25.082857,2,受傷事故,內湖路1段,2,惡化,中度惡化
121.543673,25.052049,1,受傷事故,南京東西路,2,惡化,中度惡化
121.526386,25.068231,1,受傷事故,民族東路,2,惡化,重度惡化
121.523979,25.025331,1,受傷事故,羅斯福路1、2段,2,惡化,微幅改善
121.561654,25.054338,1,受傷事故,健康路,2,改善,微幅改善
121.522921,25.062953,1,受傷事故,復興北路,2,惡化,中度惡化
121.544749,25.065507,1,受傷事故,復興北路,2,惡化,中度惡化
121.558063,25.048338,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.546958,25.024529,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.528045,25.052292,1,受傷事故,南京東西路,2,惡化,中度惡化
121.557931,25.043917,2,受傷事故,光復南北路,2,惡化,輕微惡化
121.560986,25.084661,1,受傷事故,內湖路1段,1,惡化,中度惡化
121.533439,25.04759,3,受傷事故,松江路,4,惡化,重度惡化
121.53332,25.056856,1,受傷事故,松江路,2,惡化,重度惡化
121.543037,25.026598,1,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.517403,25.04549,2,受傷事故,公園路,3,惡化,中度惡化
121.544158,25.047968,2,受傷事故,復興北路,3,惡化,中度惡化
121.562106,25.058205,1,受傷事故,南京東西路,2,惡化,中度惡化
121.525135,25.102125,1,受傷事故,福國路,2,惡化,重度惡化
121.55556,25.058427,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.523358,25.068299,1,受傷事故,民族東路,2,惡化,重度惡化
121.564279,25.063275,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.580884,25.045517,1,受傷事故,忠孝東路6段,2,改善,微幅改善
121.563219,25.049282,2,受傷事故,八德路4段,3,惡化,輕微惡化
121.560103,25.016445,2,受傷事故,和平東路1、2、3段,2,惡化,重度惡化
121.590642,25.050052,2,受傷事故,忠孝東路6段,3,改善,微幅改善
121.535956,25.068019,1,受傷事故,民族東路,2,惡化,重度惡化
121.559977,25.03454,1,受傷事故,基隆路1段,2,惡化,輕微惡化
121.559633,25.048261,1,受傷事故,八德路4段,2,惡化,輕微惡化
121.566993,25.084917,2,受傷事故,內湖路1段,3,惡化,中度惡化
121.557496,25.044719,1,受傷事故,光復南北路,2,惡化,輕微惡化
121.577171,25.049854,1,受傷事故,八德路4段,2,惡化,輕微惡化
121.523358,25.068299,2,受傷事故,民族東路,3,惡化,重度惡化
121.528045,25.052292,2,受傷事故,南京東西路,2,惡化,中度惡化
121.520332,25.052505,1,受傷事故,南京東西路,2,惡化,中度惡化
121.53326,25.018837,1,受傷事故,新生南路3段,2,惡化,重度惡化
